match_id;team;minute;value
14083292;Elche;61.0;-33
14083292;Elche;62.0;-29
14083292;Elche;63.0;-30
14083292;Elche;64.0;-29
14083292;Elche;65.0;-23
14083292;Elche;66.0;-15
14083292;Elche;67.0;-15
14083292;Elche;68.0;-10
14083292;Real Sociedad;69.0;8
14083292;Real Sociedad;70.0;6
14083292;Elche;71.0;-6
14083292;Elche;72.0;-15
14083292;Real Sociedad;73.0;30
14083292;Real Sociedad;74.0;42
14083292;Real Sociedad;75.0;27
14083292;Real Sociedad;76.0;18
14083292;Real Sociedad;77.0;16
14083292;Real Sociedad;78.0;5
14083292;Elche;79.0;-9
14083292;Real Sociedad;80.0;20
14083292;Real Sociedad;81.0;7
14083292;Elche;82.0;-44
14083292;Elche;83.0;-13
14083292;Elche;84.0;-10
14083292;Elche;85.0;-5
14083292;Elche;86.0;-6
14083292;Real Sociedad;87.0;32
14083292;Real Sociedad;88.0;17
14083292;Real Sociedad;89.0;19
14083292;Real Sociedad;90.0;39
14083292;Real Sociedad;90.5;32
14083303;Villarreal;1.0;2
14083303;Villarreal;2.0;2
14083303;Villarreal;3.0;6
14083303;Espanyol;4.0;-14
14083303;Espanyol;5.0;-46
14083303;Espanyol;6.0;-48
14083303;Villarreal;7.0;78
14083303;Villarreal;8.0;42
14083303;Villarreal;9.0;36
14083303;Villarreal;10.0;31
14083303;Villarreal;11.0;64
14083303;Villarreal;12.0;24
14083303;Villarreal;13.0;17
14083303;Villarreal;14.0;2
14083303;Espanyol;15.0;-15
14083303;Espanyol;16.0;-15
14083303;Villarreal;17.0;16
14083303;Villarreal;18.0;2
14083303;Espanyol;19.0;-39
14083303;Espanyol;20.0;-15
14083303;Espanyol;21.0;-6
14083303;Espanyol;22.0;-35
14083303;Espanyol;23.0;-13
14083303;Villarreal;24.0;22
14083303;Villarreal;25.0;9
14083303;Villarreal;26.0;6
14083303;Espanyol;27.0;-13
14083303;Espanyol;28.0;-8
14083303;Espanyol;29.0;-10
14083303;Espanyol;30.0;-4
14083303;Espanyol;31.0;-27
14083303;Espanyol;32.0;-18
14083303;Espanyol;33.0;-23
14083303;Espanyol;34.0;-55
14083303;Espanyol;35.0;-24
14083303;Villarreal;36.0;34
14083303;Villarreal;37.0;8
14083303;Espanyol;38.0;-8
14083303;Villarreal;39.0;42
14083303;Villarreal;40.0;35
14083303;Villarreal;41.0;21
14083303;Villarreal;42.0;19
14083303;Villarreal;43.0;6
14083303;Espanyol;44.0;-6
14083303;Villarreal;45.0;11
14083303;Espanyol;45.5;-5
14083303;Espanyol;46.0;-4
14083303;Espanyol;47.0;-13
14083303;Espanyol;48.0;-11
14083303;Espanyol;49.0;-20
14083303;Espanyol;50.0;-15
14083303;Villarreal;51.0;22
14083303;Espanyol;52.0;-16
14083303;Espanyol;53.0;-15
14083303;Villarreal;54.0;49
14083303;Villarreal;55.0;35
14083303;Villarreal;56.0;11
14083303;Espanyol;57.0;-16
14083303;Villarreal;58.0;40
14083303;Villarreal;59.0;28
14083303;Villarreal;60.0;15
14083303;Espanyol;61.0;-46
14083303;Espanyol;62.0;-17
14083303;Espanyol;63.0;-9
14083303;Villarreal;64.0;8
14083303;Villarreal;65.0;4
14083303;Villarreal;66.0;32
